lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment
217,diallyl ether-ethylene,3,1.0,2
438,dodecyl acrylate-ethylene,2,1.0,1
468,ethylene-ethylene glycol monoacrylate,2,0.5,3
008,ethylene-n-butyl vinyl ether,0,0.0,2
275,1-butene-none,3,1.0,2
296,allyl pivalate-ethylene,2,1.0,1
426,6FA-ethylene,0,0.0,3
139,ethylene-methyl vinyl ketone,3,1.0,2
094,R-Br-R-SiOMe3,0,0.0,1
097,ethylene-methyl vinyl ketone,2,0.3333333333333333,5
438,5-hexene-1-yl-acetate-ethylene,0,0.0,3
410,ethylene-vinyl triethoxysilane,0,0.0,1
106,norbonene-styrene,0,0.0,6
122,norbonene-styrene,0,0.0,48
091,ethylene-methyl vinyl ketone,3,0.75,3
438,ethylene-n-butyl vinyl ether,0,0.0,2
047,NB-CH2OH-ethylene,0,0.0,3
414,1-butene-none,0,0.0,2
243,R-BOH2-R-Br,2,0.1,36
401,ethylene-isobornyl acrylate,3,0.6,4
438,NB-CH2OH-ethylene,0,0.0,3
121,DMAA-ethylene,5,1.0,4
426,ethylene-tert-butyl-10-undecenoate,0,0.0,1
135,ethylene-norbonene,15,0.46875,135
252,methyl acrylate-propylene,4,0.6666666666666666,9
411,6FA-ethylene,5,0.7142857142857143,12
278,ethyl acrylate-ethylene,0,0.0,1
283,PhI-norbonene,0,0.0,3
038,"5-norbonene-2,3-dicarboxylic anhydride-ethylene",4,0.23529411764705882,16
393,allyl chloride-propylene,0,0.0,1
119,"(E)-1,3-diphenylprop-3-en-1-yl acetate-dimethylmalonate",0,0.0,5
460,NB-OCOMe-ethylene,0,0.0,1
308,methyl acrylate-propylene,2,0.2857142857142857,12
113,"5-norbonene-2,3-dicarboxylic anhydride-ethylene",2,1.0,1
408,NB-CH2OH-ethylene,5,0.4166666666666667,27
411,ethylene-tert-butyl-10-undecenoate,2,0.4,4
279,allyl acetate-propylene,7,0.6363636363636364,24
463,allyl methyl ether-ethylene,0,0.0,1
019,ethylene-vinyl triethoxysilane,0,0.0,1
332,"(E)-1,3-diphenylprop-3-en-1-yl acetate-dimethylmalonate",0,0.0,10
388,ethylene-vinyl triethoxysilane,2,1.0,1
249,ethylene-vinyl trimethoxysilane,9,1.0,8
272,"5-norbonene-2,3-dicarboxylic anhydride-ethylene",3,0.5,5
021,CH2CH(CH2)4Cl-ethylene,0,0.0,12
214,Aryl halide-Phenylboronic acid,0,0.0,5
021,N-isopropylacrylamide-ethylene,0,0.0,2
035,ethyl vinyl ether-ethylene,0,0.0,2
458,NB-COOH-ethylene,2,0.5,3
151,ethylene-methyl methacrylate,6,1.0,5
135,allyl ethyl ether-norbonene,4,0.5,15
148,DMAA-ethylene,5,1.0,4
319,R-BOH2-R-Cl,0,0.0,1
331,"5-norbonene-2,3-dicarboxylic anhydride-ethylene",3,1.0,2
245,NB-OCOMe-ethylene,4,0.8,4
324,ethylene-vinyl acetate,2,0.16666666666666666,11
016,CH2CH(CH2)9Cl-ethylene,0,0.0,2
460,R-Br-R-SH,0,0.0,4
368,4-penten-1-ol-ethylene,2,0.3333333333333333,5
364,butyl vinyl ether-ethylene,22,1.0,40
377,CH2CH(CH2)4OH-norbonene,4,1.0,3
455,ethylene-vinyl chloride,5,0.8333333333333334,5
220,allyl acetate-ethylene,23,0.9583333333333334,23
110,acrylic acid-ethylene,18,1.0,17
194,methyl 10-undecenoate-norbonene,0,0.0,3
108,ethyl acrylate-ethylene,2,1.0,1
027,6FA-ethylene,0,0.0,3
108,ethylene-norbonene,12,0.42857142857142855,27
203,allyl ethyl ether-ethylene,4,1.0,3
339,ethylene-tert-butyl vinyl ether,2,0.6666666666666666,2
084,R-BOH2-R-Br,4,0.19047619047619047,54
081,H2-oct-1-ene,0,0.0,24
420,ethylene-ethylene glycol monoacrylate,0,0.0,6
147,methyl 10-undecenoate-norbonene,0,0.0,3
134,ethylene-tert-butyl vinyl ether,2,0.5,3
471,norbonene-styrene,0,0.0,3
343,4-penten-1-ol-ethylene,2,0.6666666666666666,2
151,none-propylene,10,0.7142857142857143,13
252,CH2CH(CH2)9OH-norbonene,0,0.0,9
077,CO_nonalt-ethylene,7,0.3181818181818182,21
401,allyl acetate-norbonene,0,0.0,12
287,CO2-ethylene,3,0.10714285714285714,27
033,methyl acrylate-propylene,0,0.0,3
330,diallyl ether-ethylene,3,0.75,4
027,ethylene-tert-butyl-10-undecenoate,0,0.0,1
058,5-norbornene-2-yl acetate-ethylene,0,0.0,7
176,CH2CH(CH2)4Cl-ethylene,13,1.0,12
207,CO2-ethylene,3,0.10714285714285714,27
245,R-Br-R-SH,0,0.0,16
463,dodecyl acrylate-ethylene,0,0.0,1
308,CH2CH(CH2)9OH-norbonene,0,0.0,12
005,NB-OCOMe-ethylene,0,0.0,1
214,allyl chloride-propylene,0,0.0,1
099,NB-OCOMe-ethylene,9,0.9,9
149,"5-norbonene-2,3-dicarboxylic anhydride-ethylene",2,1.0,1
287,CH2CH(CH2)9Br-ethylene,3,1.0,2
142,"5-norbonene-2,3-dicarboxylic anhydride-ethylene",2,1.0,1
463,5-hexene-1-yl-acetate-ethylene,0,0.0,3
446,1-hexene-ethylene,5,1.0,6
390,ethylene-tert-butyl acrylate,7,0.4117647058823529,16
412,"(E)-1,3-diphenylprop-3-en-1-yl acetate-dimethylmalonate",0,0.0,5
406,ethylene-methyl 10-undecenoate,22,1.0,21
223,"5-norbonene-2,3-dicarboxylic anhydride-ethylene",2,1.0,1
158,methyl acrylate-propylene,3,0.75,3
309,R-BOH2-R-Cl,0,0.0,7
365,CH2CH(CH2)4Cl-ethylene,14,1.0,24
365,N-isopropylacrylamide-ethylene,4,1.0,4
463,ethylene-n-butyl vinyl ether,0,0.0,2
382,CH2CH(CH2)8COOH-ethylene,10,1.0,16
146,allyl butyl ether-ethylene,4,1.0,3
