lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster
291,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
156,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
323,CO_nonalt-ethylene,2,0.1,19,2,2,1.0,44,5,220
358,CO_nonalt-ethylene,5,0.25,19,5,2,2.5,53,5,265
270,CO_nonalt-ethylene,8,0.36363636363636365,57,3,2,1.5,46,5,230
112,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
186,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
326,CO_nonalt-ethylene,2,0.1,19,2,2,1.0,44,5,220
350,CO_nonalt-ethylene,9,0.391304347826087,76,5,2,2.5,53,5,265
241,CO_nonalt-ethylene,0,0.0,133,5,2,2.5,53,5,265
324,CO_nonalt-ethylene,2,0.1,19,6,2,3.0,51,5,255
377,CO_nonalt-ethylene,0,0.0,19,3,2,1.5,46,5,230
199,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
180,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
060,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,27,5,135
154,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,27,5,135
082,CO_nonalt-ethylene,6,0.2727272727272727,57,6,2,3.0,51,5,255
005,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
007,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
209,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
075,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
247,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
286,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
090,CO_nonalt-ethylene,10,0.43478260869565216,76,3,2,1.5,46,5,230
315,CO_nonalt-ethylene,12,0.375,247,2,2,1.0,44,5,220
430,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
120,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
084,CO_nonalt-ethylene,5,0.23809523809523808,38,3,2,1.5,46,5,230
224,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
436,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
385,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
166,CO_nonalt-ethylene,0,0.0,19,3,2,1.5,46,5,230
448,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
143,CO_nonalt-ethylene,5,0.25,19,6,2,3.0,51,5,255
135,CO_nonalt-ethylene,8,0.3333333333333333,95,6,2,3.0,51,5,255
288,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
