d_node,t_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of d in cluster,jaccard_coefficient_cluster,degree_d_cluster,degree_t,preferential_attachment_cluster
145,ethylene-vinyl chloride,0,0.0,0,2,2,1.0,53,4,212
316,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
407,ethylene-vinyl chloride,8,0.8,24,1,2,0.5,51,4,204
472,ethylene-vinyl chloride,3,0.6,4,1,2,0.5,27,4,108
091,ethylene-vinyl chloride,6,0.8571428571428571,12,1,2,0.5,51,4,204
007,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,51,4,204
312,ethylene-vinyl chloride,2,0.3333333333333333,8,2,2,1.0,53,4,212
160,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
333,ethylene-vinyl chloride,0,0.0,0,1,2,0.5,46,4,184
330,ethylene-vinyl chloride,4,0.6666666666666666,8,1,2,0.5,46,4,184
408,ethylene-vinyl chloride,8,0.8,24,1,2,0.5,51,4,204
011,ethylene-vinyl chloride,0,0.0,4,0,2,0.0,44,4,176
162,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
215,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
273,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,51,4,204
008,ethylene-vinyl chloride,0,0.0,4,0,2,0.0,44,4,176
047,ethylene-vinyl chloride,0,0.0,4,0,2,0.0,44,4,176
172,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
397,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
222,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
168,ethylene-vinyl chloride,4,0.6666666666666666,8,2,2,1.0,53,4,212
423,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,27,4,108
377,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,46,4,184
204,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,27,4,108
262,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,51,4,204
041,ethylene-vinyl chloride,4,0.2857142857142857,40,0,2,0.0,44,4,176
179,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
311,ethylene-vinyl chloride,2,0.4,4,2,2,1.0,53,4,212
418,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,46,4,184
096,ethylene-vinyl chloride,4,0.4444444444444444,20,1,2,0.5,46,4,184
298,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,27,4,108
157,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,27,4,108
186,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
257,ethylene-vinyl chloride,5,0.8333333333333334,8,2,2,1.0,53,4,212
458,ethylene-vinyl chloride,3,0.6,4,0,2,0.0,44,4,176
431,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,46,4,184
150,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
053,ethylene-vinyl chloride,0,0.0,0,1,2,0.5,51,4,204
151,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
255,ethylene-vinyl chloride,11,0.8461538461538461,36,1,2,0.5,46,4,184
459,ethylene-vinyl chloride,3,0.6,4,1,2,0.5,27,4,108
130,ethylene-vinyl chloride,0,0.0,0,0,2,0.0,44,4,176
415,ethylene-vinyl chloride,0,0.0,4,0,2,0.0,44,4,176
353,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
450,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,27,4,108
338,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
217,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
139,ethylene-vinyl chloride,2,0.4,4,1,2,0.5,51,4,204
447,ethylene-vinyl chloride,5,0.8333333333333334,8,1,2,0.5,51,4,204
233,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,51,4,204
005,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,51,4,204
404,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
097,ethylene-vinyl chloride,4,0.5714285714285714,12,1,2,0.5,51,4,204
232,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
405,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
200,ethylene-vinyl chloride,0,0.0,0,2,2,1.0,53,4,212
244,ethylene-vinyl chloride,5,0.8333333333333334,8,1,2,0.5,46,4,184
