lig_id,ligand_name,exp_id,ref,substrate_comb,metal,substrate_1,substrate_2,solvent,temperature,"substrate_1_amount (gas: bar, liqu: mmol, solid: g)",substrate_2_amount,base,base_equiv_to_cat,additive,additive_equiv,substrate_ratio,volume_ml,activity_kg_mol,yield,mn,time_hr,incorporatio_ratio,ton
62,p-c-27,120,Journal of Organometallic Chemistry 690 (2005) 5822–5831,"(E)-1,3-diphenylprop-3-en-1-yl acetatedimethylmalonate",Pd,"(E)-1,3-diphenylprop-3-en-1-yl acetate",dimethylmalonate,dcm,25,0.2,0.6,,,"BSA,KOAc","116,0.8",0.333,1,,95,,5,,
63,p-c-28,121,Journal of Organometallic Chemistry 690 (2005) 5822–5831,"(E)-1,3-diphenylprop-3-en-1-yl acetatedimethylmalonate",Pd,"(E)-1,3-diphenylprop-3-en-1-yl acetate",dimethylmalonate,dcm,25,0.2,0.6,,,"BSA,KOAc","116,0.8",0.333,1,,86,,5,,
73,n-o-1,122,"Organometallics 1998, 17, 3149-3151",ethylenenone,Ni,ethylene,none,toluene,25,7.09275,none,,,,,,90,40.404,,4000,0.66,none,
73,n-o-1,123,"Organometallics 1998, 17, 3149-3152",ethylenenone,Ni,ethylene,none,toluene,25,14.1855,none,,,,,,90,48.485,,10000,0.66,none,
74,n-o-2,124,"Organometallics 1998, 17, 3149-3153",ethylenenone,Ni,ethylene,none,toluene,25,7.09275,none,,,,,,90,70.707,,114000,0.66,none,
75,n-o-3,125,"Organometallics 1998, 17, 3149-3154",ethylenenone,Ni,ethylene,none,toluene,25,7.09275,none,,,,,,90,123.232,,23500,0.66,none,
75,n-o-3,126,"Organometallics 1998, 17, 3149-3155",ethylenenone,Ni,ethylene,none,toluene,0,7.09275,none,,,,,,90,200,,242000,0.66,none,
76,n-o-4,127,"Organometallics 1998, 17, 3149-3156",ethylenenone,Ni,ethylene,none,toluene,25,7.09275,none,,,,,,90,373.333,,37700,0.25,none,
76,n-o-4,128,"Organometallics 1998, 17, 3149-3157",ethylenenone,Ni,ethylene,none,toluene,25,7.09275,none,,,,,,90,373.333,,29500,0.25,none,
77,n-o-5,129,"Organometallics 1998, 17, 3149-3158",ethylenenone,Ni,ethylene,none,toluene,25,7.09275,none,,,,,,90,394.667,,54000,0.25,none,
78,n-o-6,130,"Organometallics 1998, 17, 3149-3159",ethylenenone,Ni,ethylene,none,toluene,25,7.09275,none,,,,,,90,20.202,,73000,0.66,none,
79,n-o-7,131,"Organometallics 1998, 17, 3149-3160",ethylenenone,Ni,ethylene,none,toluene,25,7.09275,none,,,,,,90,383.838,,360000,0.66,none,
