lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster,SMILES,ligand_name
442,CO_nonalt-ethylene,10,0.434782609,76,4,2,2,39,3,117,O=C(N(C)P(C1=CC=CC=C1C2=C(OC)C=CC=C2OC)C3=CC=CC=C3)C4=CC=CC=C4,p-o-144
441,CO_nonalt-ethylene,10,0.434782609,76,4,2,2,39,3,117,O=C(N(C)P(C1=CC=CC=C1C(F)(F)F)C2=CC=CC=C2C(F)(F)F)C3=CC=CC=C3,p-o-143
81,CO_nonalt-ethylene,8,0.347826087,76,4,2,2,39,3,117,[O-]C(C(C(C)(C)C)=CC=C1)=C1P(C2=CC=CC=C2)C3=C(C4=CC=C(C5=C(OC)C=CC=C5OC)C=C4)C=CC=C3,p-o-7
131,CO_nonalt-ethylene,8,0.347826087,76,4,2,2,39,3,117,[H]C(C=CC=C1)=C1P(C2=C([H])C=CC=C2)C3=CC=CC=C3N(C)C,p-n-4
83,CO_nonalt-ethylene,8,0.363636364,57,4,2,2,39,3,117,[O-]C(C(C(C)(C)C)=CC=C1)=C1P(C(C=C2)=CC=C2C3=CC=CC=C3)C4=C(C5=CC=CC=C5)C=CC=C4,p-o-9
403,CO_nonalt-ethylene,8,0.363636364,57,4,2,2,39,3,117,CC(C(C=CC=C1C2=CC=C(OC)C=C2)=C1O3)(C)C4=C3C(C5=CC(C(C)C)=C(/N=C(C6=C(C7=CC=C8)C8=CC=C6)/C7=N/C9=C(C(C)C)C=C(C%10=C(OC(C(C%11=CC=C(OC)C=C%11)=CC=C%12)=C%12C%13(C)C)C%13=CC=C%10)C=C9C(C)C)C(C(C)C)=C5)=CC=C4,n-n-81
82,CO_nonalt-ethylene,8,0.363636364,57,4,2,2,39,3,117,[O-]C(C(C(C)(C)C)=CC=C1)=C1P(C2=CC=CC=C2)C3=C(C4=CC=CC=C4)C=CC=C3,p-o-8
80,CO_nonalt-ethylene,7,0.318181818,57,4,2,2,39,3,117,[O-]C(C(C(C)(C)C)=CC=C1)=C1P(C2=CC=CC=C2)C3=CC=CC=C3,p-o-6
134,CO_nonalt-ethylene,7,0.318181818,57,4,2,2,39,3,117,CN(C)C1=CC=CC=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,p-n-7
133,CO_nonalt-ethylene,7,0.318181818,57,4,2,2,39,3,117,CN(C)C1=CC=CC=C1P(C2=C(C3=CC=CC=C3)C=CC=C2)C4=C(C5=CC=CC=C5)C=CC=C4,p-n-6
133,CO_nonalt-ethylene,7,0.318181818,57,4,2,2,39,3,117,CN(C)C1=CC=CC=C1P(C2=C(C(C)C)C=CC=C2)C3=C(C(C)C)C=CC=C3,p-n-5
