lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster,SMILES,ligand_name
301,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P2N(C3=C([H])C=C([H])C=C3[H])CCN2C4=C([H])C=C([H])C=C4[H])(O)=O,p-o-113
269,CO_alt-ethylene,0,0.0,5,0,2,0.0,58,1,58,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC=C1P(C2=CC=CC=C2OC)C3=C(OC)C=CC=C3,p-o-78
298,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P(C(C)C)C(C)C)(N(C2CCCCC2)C3CCCCC3)=O,p-o-110
85,CO_alt-ethylene,0,0.0,4,0,2,0.0,58,1,58,O=S(C1=C([H])C=CC=C1P(C2=CC=CC=C2C3=C(OC)C=CC=C3OC)C4CCCCC4)(O)=O,p-o-11
303,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P2N(C3=C([H])C=C([H])C=C3OC)CCN2C4=C(OC)C=C([H])C=C4[H])(O)=O,p-o-115
97,CO_alt-ethylene,0,0.0,5,0,2,0.0,58,1,58,[*]C1=C(C2=C(OC)C=CC=C2OC)C=CC=C1,p-o-23
370,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,CC(/C(C)=N/C1=C(CC2=CC=CC=C2)C=C(O)C=C1CC3=CC=CC=C3)=N\C4=C(C(C5=CC=CC=C5)C6=CC=CC=C6)C=C(O)C=C4C(C7=CC=CC=C7)C8=CC=CC=C8.CC9=CC=CC=C9.CC%10=CC=CC=C%10,n-n-70
376,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,CC1=CC(C)=CC(C)=C1N2CN3C(C=CC=C3S(O)(=O)=O)=C2,c-o-12
251,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,[O]S(C1=CC=CC=C1P(C(C)C)C(C)C)(=O)=O,p-o-66
251,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P(C(C)C)C(C)C)([O])=O,p-o-66
286,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(N(C)C)(N(C)C)C1=CC=CC=C1P(C(C)C)C(C)C,p-o-98
184,CO_alt-ethylene,0,0.0,0,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=C(F)C=CC=C3F)/C=N/C4=CC=CC=C4,n-o-35
294,CO_alt-ethylene,0,0.0,6,0,2,0.0,58,1,58,O=P(N(C)C)(N(C)C)C1=CC=C(N(C)C)C=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,p-o-106
297,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P(C2CCCCC2)C3CCCCC3)(N(C4CCCCC4)C5CCCCC5)=O,p-o-109
243,CO_alt-ethylene,0,0.0,2,0,2,0.0,58,1,58,O=P(N(C(C)C)C(C)C)(C1=CC=CC=C1)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,p-o-63
186,CO_alt-ethylene,0,0.0,2,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)([O])=O,p-o-53
283,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(OCC)(OCC)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,p-o-90
267,CO_alt-ethylene,0,0.0,8,0,2,0.0,58,1,58,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC=C1P(C(C)C)C(C)C,p-o-76
252,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,OS(C1=CC=CC=C1P(C(C)(C)C)C(C)(C)C)(=O)=O,p-o-67
268,CO_alt-ethylene,0,0.0,2,0,2,0.0,58,1,58,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,p-o-77
182,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,[O]C1=C(/C([H])=N/C2=C(C(C)C)C=CC=C2C(C)C)C=CC=C1C3=CC=CC(/C=N/C4=C(C(C)C)C=CC=C4C(C)C)=C3O,n-o-33
410,CO_alt-ethylene,2,0.6666666666666666,2,0,2,0.0,58,1,58,CC(P(C(C)C)C1=CC=CC=C1P(C(C)C)C(C)C)C,p-p-30
273,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5,p-o-82
291,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(N(CC)CC)(N(CC)CC)C1=CC=CC=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,p-o-103
312,CO_alt-ethylene,0,0.0,2,0,2,0.0,58,1,58,OS(C1=C(C2=CC=CC=C2)C=CC=C1P([C@@H]3C[C@H](C)CC[C@H]3C(C)C)[C@@H]4C[C@H](C)CC[C@H]4C(C)C)(=O)=O,p-o-121
461,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=CC=C3)P(C4=CC=CC=C4)C5=CC=CC=C5,p-o-158
457,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P(C2=C(C)C=CC=C2)C3=CC=CC=C3C)([O])=O,p-o-154
348,CO_alt-ethylene,0,0.0,2,0,2,0.0,58,1,58,CC(/C(C)=N/C1=C(C(C)C)C=C(N(C)C)C=C1C(C)C)=N\C2=C(C(C)C)C=C(N(C)C)C=C2C(C)C,n-n-53
458,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=C(OC)C=C3)P(C4=CC=CC=C4OC)C5=C(OC)C=CC=C5,p-o-155
350,CO_alt-ethylene,0,0.0,4,0,2,0.0,58,1,58,OS(C1=CC=CC=C1P(C2=C(C3=CC(C=CC=C4)=C4O3)C=CC=C2)C5=CC=CC=C5)(=O)=O,p-o-129
391,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,CC1=CC=CC=C1P(C2=CC=CC=C2C)CC3=CC=CC(C4=C(C)C=C(C)C=C4C)=N3,p-n-27
249,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC2=CN(C3=C(CC4=CC=CC=C4)C=C(C)C=C3CC5=CC=CC=C5)CN21,c-o-5
299,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)(N(C)C)=O,p-o-111
272,CO_alt-ethylene,0,0.0,5,0,2,0.0,58,1,58,O=P(C)(C)C1=CC=CC=C1P(C2=CC=CC=C2C(F)(F)F)C3=C(C(F)(F)F)C=CC=C3,p-o-81
270,CO_alt-ethylene,0,0.0,5,0,2,0.0,58,1,58,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC=C1P(C2=CC=CC=C2C(F)(F)F)C3=C(C(F)(F)F)C=CC=C3,p-o-79
261,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C(C)(C)C)(C(C)(C)C)CP(C1=C(OC)C=CC=C1)C2=CC=CC=C2OC,p-o-72
284,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(OCC)(OCC)C1=CC=C(C)C=C1P(C(C)C)C(C)C,p-o-92
414,CO_alt-ethylene,2,1.0,1,0,2,0.0,49,1,49,C1(CCCCC1)/N=C/C=N/C2CCCCC2,n-n-83
